Day,TF_filtered_binding_dfs,distance_TSS_enhancer,targeted_cluster_hm,targeting_cluster_hm
day0,filtered_Day0,distance_Day0,targeted_hm_Cluster1,targeting_hm_Cluster1
day07,filtered_Day07,distance_Day07,targeted_hm_Cluster2,targeting_hm_Cluster2
day14,filtered_Day14,distance_Day14,targeted_hm_Cluster3,targeting_hm_Cluster3
day21,filtered_Day21,distance_Day21,targeted_hm_Cluster4,targeting_hm_Cluster4
day43,filtered_Day43,distance_Day43,targeted_hm_Cluster5,targeting_hm_Cluster5
day60,filtered_Day60,distance_Day60,targeted_hm_Cluster6,targeting_hm_Cluster6
KC,filtered_KC,distance_KC,,
